NAME,Total Housing Units,Occupied Units,Occupied Percent,1-unit det,1-unit att,2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more units,Mobile home,"boat,RV,van,etc.",No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,owner-occupied units,Less than $50k,"$50,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 to $299,999","$300,000 to $499,999","$500,000 to $999,999",$1M or more,Median (dollars),units with mortgage with SMOCAPI,SMOCAPI:less than 20 perc(m),SMOCAPI:20 to 24.9 perc(m),SMOCAPI:25 to 29.9 perc(m),SMOCAPI:30 to 34.9 perc(m),SMOCAPI:35 perc(m) or more,SMOCAPI not computed(m),units without mortgage with SMOCAPI,SMOCAPI:less than 10 perc(nm),SMOCAPI:10 to 14.9 perc(nm),SMOCAPI:15 to 19.9 perc(nm),SMOCAPI:20 to 24.9 perc(nm),SMOCAPI:25 to 29.9 perc(nm),SMOCAPI:30 to 34.9 perc(nm),SMOCAPI:35 perc(nm) or more,SMOCAPI not computed(nm),Year,Date
Alabama,2284922,1897576,83.0,1557624,39749,40094,70458,97787,76626,98392,300680,3512,32808,147772,513776,1120871,380597,89098,1305223,161749,241400,228046,223735,236050,148026,55368,10849,154000,717054,390929,98865,64209,38151,124900,4942,575365,306061,108567,55668,29523,19914,13017,42615,7862,2019,2019-01-01
Alaska,319867,252199,78.8,200974,23055,17751,22945,15015,9482,16673,13323,649,24292,41507,83093,109374,51094,10507,163272,9325,7933,10645,16533,45631,55558,16338,1309,281200,99133,43693,17123,11415,6805,20097,160,63480,33356,12223,5642,3230,2374,891,5764,499,2019,2019-01-01
Arizona,3076048,2670441,86.8,1947693,146661,41549,105392,122556,135998,246845,317116,12238,89028,346892,819760,1136495,554232,129641,1742670,122633,97250,131843,221399,499974,455448,175706,38417,255900,1080957,519211,167721,116766,68956,208303,6119,643966,348968,109302,59786,33922,19820,15488,56680,11628,2019,2019-01-01
Arkansas,1389159,1163647,83.8,968020,20674,43794,48582,48544,53218,40734,163623,1970,30120,101833,361814,680008,182182,33202,761809,101881,167625,152835,124710,121982,66060,20980,5736,136200,402301,222309,58575,34840,22106,64471,1250,353850,191663,62255,34660,21684,10598,8907,24083,4408,2019,2019-01-01
California,14367012,13157873,91.6,8206562,982710,342815,789366,876097,749775,1864561,537931,17195,640439,1982195,3896852,4768220,2461058,618248,7218742,179080,133518,131564,200907,664558,1800185,2792052,1316878,568500,4956570,1741460,777114,598983,426746,1412267,22419,2211948,1069514,391020,204518,135501,91298,63808,256289,27805,2019,2019-01-01
Colorado,2464109,2235103,90.7,1537618,176843,35327,79049,114135,137535,284118,97976,1508,57520,290686,599523,813764,487914,214702,1471912,44843,35874,43539,64143,233693,603236,376650,69934,394600,1037968,468061,166327,112673,75538,215369,4411,424659,232411,71073,38490,22098,14368,9422,36797,4874,2019,2019-01-01
Connecticut,1524959,1377166,90.3,889358,83539,120980,134603,82042,59136,144071,10931,299,33729,197985,412875,544733,264859,70778,895594,18004,25427,67575,131502,251366,249711,107606,44403,280700,590065,249801,93825,65212,46085,135142,2944,298695,99058,60019,38803,23943,16766,10954,49152,3890,2019,2019-01-01
Delaware,443764,376239,84.8,262349,67308,7036,10098,19347,20483,23847,33258,38,5581,31478,89128,201743,96176,19658,264503,13097,9121,19598,39848,80561,77890,19388,5000,261700,173034,85632,26046,17841,10050,33465,291,90370,49590,14889,7140,4028,2352,3494,8877,808,2019,2019-01-01
District of Columbia,322814,291570,90.3,37010,77927,10687,21833,24129,32320,118504,404,0,31839,100159,83812,65792,28892,12320,120988,912,374,1835,728,7000,32521,51509,26109,646500,92007,42984,15812,9936,7485,15790,524,27875,16593,3876,2226,1228,955,394,2603,582,2019,2019-01-01
Florida,9674053,7905832,81.7,5241393,596992,181427,368452,484184,553526,1377648,854599,15832,204148,984257,3142983,3708302,1358485,275878,5237519,307008,417448,511630,729857,1384430,1258091,486654,142401,245100,2930921,1228515,444502,309403,215336,733165,17164,2255810,1001078,423603,246345,153070,105258,64234,262222,33624,2019,2019-01-01
