state,occupied_perc,smocapi_35ormore_m_perc,smocapi_35more_nm_perc,utilitygas,bottled_tank,electricity,fueloil,coal_coke,wood,solar,other_fuel,total_fuel_user,value_50k_less,value_50000to99999,value_100000to149999,value_150000to199999,value_200000to299999,value_300000to499999,value_500000to999999,value_1M_more,house_median_value,year,date,abbrev,code,primary_key
Alabama,83,17.4,7.4,502880,106166,1260266,2384,666,16377,120,1328,1890187,161749,241400,228046,223735,236050,148026,55368,10849,154000,2019,1/1/2019,Ala.,AL,AL_2019
Alaska,78.8,20.3,9.1,122448,4879,30611,77795,1024,12171,8,2053,250989,9325,7933,10645,16533,45631,55558,16338,1309,281200,2019,1/1/2019,Alaska,AK,AK_2019
Arizona,86.8,19.3,8.8,877561,75036,1614900,2905,373,50942,18646,5815,2646178,122633,97250,131843,221399,499974,455448,175706,38417,255900,2019,1/1/2019,Ariz.,AZ,AZ_2019
Arkansas,83.8,16,6.8,450216,78170,588621,638,67,39897,385,2375,1160369,101881,167625,152835,124710,121982,66060,20980,5736,136200,2019,1/1/2019,Ark.,AR,AR_2019
California,91.6,28.5,11.6,8469893,426530,3497610,30373,1717,181624,108619,39209,12755575,179080,133518,131564,200907,664558,1800185,2792052,1316878,568500,2019,1/1/2019,Calif.,CA,CA_2019
Colorado,90.7,20.7,8.7,1529865,107982,526565,1837,1035,35043,8044,13907,2224278,44843,35874,43539,64143,233693,603236,376650,69934,394600,2019,1/1/2019,Colo.,CO,CO_2019
Connecticut,90.3,22.9,16.5,500471,66974,237614,535420,467,22304,852,8355,1372457,18004,25427,67575,131502,251366,249711,107606,44403,280700,2019,1/1/2019,Conn.,CT,CT_2019
Delaware,84.8,19.3,9.8,159659,38075,132078,38189,271,3032,981,2269,374554,13097,9121,19598,39848,80561,77890,19388,5000,261700,2019,1/1/2019,Del.,DE,DE_2019
District of Columbia,90.3,17.2,9.3,148736,3304,128752,2931,0,0,664,1448,285835,912,374,1835,728,7000,32521,51509,26109,646500,2019,1/1/2019,D.C.,DC,DC_2019
Florida,81.7,25,11.6,368160,65262,7284195,9295,712,11985,14702,3804,7758115,307008,417448,511630,729857,1384430,1258091,486654,142401,245100,2019,1/1/2019,Fla.,FL,FL_2019
Georgia,88,18.5,8,1487548,173271,2141572,5442,274,23072,445,3704,3835328,177000,278940,339071,425070,547290,468062,198180,36959,202500,2019,1/1/2019,Ga.,GA,GA_2019
Hawaii,84.5,31.1,9.7,9823,7151,157002,254,313,1227,16356,444,192570,2405,1696,3403,5900,16357,57866,146938,45395,669200,2019,1/1/2019,Hawaii,HI,HI_2019
Idaho,87.3,17.1,7.7,333883,33933,225718,9851,258,43627,967,5472,653709,25267,23050,43688,66417,133599,122422,46330,8614,255200,2019,1/1/2019,Idaho,ID,ID_2019
Illinois,90.3,19.2,11.4,3750774,205926,828297,7096,1009,19263,1291,22707,4836363,183977,413752,451270,483037,749178,626125,245514,59014,209100,2019,1/1/2019,Ill.,IL,IL_2019
Indiana,88.9,13.4,7.3,1552483,184697,772790,16238,3769,44677,728,12260,2587642,132893,344618,374342,340537,337514,199494,59803,11282,156000,2019,1/1/2019,Ind.,IN,IN_2019
Iowa,90.7,13.9,7.9,780476,165743,304965,4706,611,15032,802,8544,1280879,73794,164273,182204,160585,179655,111163,30257,5949,158900,2019,1/1/2019,Iowa,IA,IA_2019
Kansas,88.4,13.7,7.6,731882,91295,289950,2138,132,15390,284,4571,1135642,82958,139212,117930,122392,150830,105368,32288,5588,163200,2019,1/1/2019,Kans.,KS,KS_2019
Kentucky,87.2,15.6,8,644977,108053,921242,12525,2468,48551,565,5155,1743536,134905,215381,227082,207191,206518,131146,41304,8297,151700,2019,1/1/2019,Ky.,KY,KY_2019
Louisiana,83.3,19.1,8.2,579773,31301,1114041,316,0,7044,1198,695,1734368,126930,160183,179098,221350,253448,154198,48918,13527,172100,2019,1/1/2019,La.,LA,LA_2019
Maine,76.4,19.2,11.6,44750,69241,48008,344869,1140,53927,1047,8428,571410,26831,48445,57414,73854,101894,74866,25174,5641,200500,2019,1/1/2019,Maine,ME,ME_2019
